Summary Date,Store #,Store Name,Rental Income,Net Sales,GRP Amount,Processing Fees,Late Fees,Returned Check Charge,Fees and Charges,Club And ESP,Total Revenue,Tax,Net Receivable,NSF Refunds,Total Bank Deposit,Total Cash,Deposit 1,Deposit 2,Deposit 3,Deposit 4,Deposit 6,Rental Over Short,Freetime Amount,Free New Agreements,Agreement Deliveries,Potential Revenue Deliveries,Agreement Pickups,Potential Revenue Pickups,Agreement Payouts,Agreement Pickups,Agreement Chargeoffs,Potential Revenue Skips,Open Agreement Count,Potential Revenue,Total Past Due Nbr,PD%,Total Past Due Amount,Past Due 1-4 Amount,Past Due 5-7 Amount,Past Due 8-15 Amount,Past Due 32+ Amount,Customer Count,Units On Rent,Idle Units
2024-08-06,1,RNR-JACKSONVILLE,2375.98,0.00,286.29,15.98,189.20,0.00,228.16,88.32,3183.93,296.87,874.47,0.00,4355.27,4355.27,1195.43,0.00,0.00,1507.86,1651.98,0.00,27.07,6.15,2,186.19,0,0.00,0,0,0,0.00,777,105492.05,169,21.8,11588.70,3475.62,31.02,640.00,7492.64,619,3612,1270
2024-08-06,2,RNR-MABELVALE,1291.07,0.00,156.33,10.00,147.40,0.00,147.13,37.86,1789.79,149.07,788.19,0.00,2727.05,2727.05,419.58,0.00,0.00,1747.96,559.51,0.00,28.87,115.29,4,731.77,2,463.31,0,2,0,0.00,674,95158.32,160,23.7,12547.55,2966.95,63.92,1204.04,8779.06,511,3268,1116
2024-08-06,3,RNR-CONWAY,2707.79,0.00,318.71,24.15,178.20,0.00,357.31,62.86,3649.02,319.53,232.13,0.00,4200.68,4200.68,1025.51,0.00,0.00,2766.92,408.25,0.00,93.69,350.22,4,692.93,0,0.00,3,0,0,0.00,797,106505.69,237,29.7,13044.57,5700.83,0.00,840.00,7326.98,697,3474,1289
2024-08-06,4,RNR-FAYETTEVILLE,1363.38,796.00,211.66,0.00,125.85,0.00,172.33,5.00,2674.22,259.76,1231.65,0.00,3293.19,3293.19,1423.46,-557.00,0.00,655.90,1770.83,0.00,69.74,134.29,2,259.80,0,0.00,0,0,0,0.00,786,103290.44,250,31.8,11417.24,5797.79,0.00,486.00,5654.87,642,3613,866
2024-08-06,5,RNR-ROGERS,4514.72,49.95,330.89,21.75,162.80,0.00,295.70,70.00,5445.81,525.77,2131.33,0.00,8048.21,8048.21,1455.00,0.00,42.55,2975.47,3575.19,0.00,442.33,677.24,13,1139.86,5,545.65,5,5,0,0.00,1443,189535.04,282,19.5,15451.69,5331.07,117.63,1855.81,8636.20,1048,6449,1887
2024-08-06,6,RNR-LITTLE ROCK,3189.53,0.00,288.56,3.79,132.00,0.00,216.45,20.00,3850.33,347.46,-2099.07,0.00,2098.72,2098.72,173.00,0.00,0.00,1585.15,340.33,-0.24,24.56,20.00,1,121.24,1,91.00,1,1,0,0.00,853,112806.86,303,35.5,13988.06,7563.57,0.00,644.00,7189.32,684,3923,1409
2024-08-06,7,RNR-FT.SMITH,3402.44,0.00,389.98,0.00,206.80,0.00,313.74,70.00,4382.96,424.93,1355.38,0.00,6163.27,6163.27,1102.04,-60.00,0.00,3319.29,1801.93,-0.01,160.63,428.38,5,740.51,2,216.64,1,2,0,0.00,1513,209269.22,265,17.5,19052.92,5192.36,75.02,1774.04,10807.30,1230,6500,1408
2024-08-06,8,RNR-JONESBORO,2264.25,0.00,292.97,22.41,205.20,0.00,210.50,40.00,3035.33,255.33,199.69,0.00,3490.35,3490.35,878.36,0.00,83.07,1564.62,965.80,1.50,83.58,90.45,4,381.09,2,285.78,1,2,0,0.00,1299,175372.70,335,25.8,18705.06,8055.89,24.01,976.00,11087.58,1030,6012,1287
2024-08-06,9,RNR-PARAGOULD,2121.61,1881.95,95.00,0.00,72.60,0.00,87.85,27.14,4286.15,400.91,2123.32,0.00,4753.02,4753.02,3308.50,-83.07,0.00,1250.14,277.45,0.00,66.88,213.43,2,359.39,2,290.11,2,2,0,0.00,741,105919.53,165,22.3,10684.96,4186.75,79.00,551.00,6598.09,600,3361,1330
2024-08-06,10,RNR-SPRINGFIELD,1698.30,0.00,208.30,0.00,105.00,0.00,176.32,35.00,2222.92,171.54,306.25,0.00,2700.71,2700.71,593.00,-260.00,0.00,1227.50,1140.21,0.00,0.00,0.00,0,0.00,0,0.00,1,0,0,0.00,858,124115.26,241,28.1,22206.14,4692.40,57.00,1717.08,16230.13,673,3885,1014
2024-08-06,11,RNR-WEST PLAINS,2112.47,69.95,276.35,10.50,125.79,0.00,199.45,49.40,2843.91,221.96,-652.26,0.00,2343.66,2343.66,929.95,0.00,0.00,1337.16,76.55,0.00,43.51,178.99,2,268.56,1,151.55,2,1,0,0.00,886,127695.79,228,25.7,13561.50,4839.08,0.00,2408.06,8100.99,715,3762,1046
2024-08-06,12,RNR-WEST MONROE,3267.99,0.00,333.02,35.51,239.80,0.00,242.92,32.85,4152.09,407.34,775.68,0.00,5335.11,5335.11,691.95,0.00,0.00,4454.39,188.77,0.00,147.78,59.68,6,623.63,1,77.94,2,1,0,0.00,862,128141.37,251,29.1,17382.96,6009.56,61.04,1190.00,11056.48,685,3685,1462
2024-08-06,13,RNR-HOT SPRINGS,1675.41,0.00,169.12,47.02,19.80,0.00,151.64,60.96,2123.95,213.72,463.55,0.00,2801.22,2801.22,435.00,0.00,0.00,945.22,1421.00,0.00,164.70,184.61,8,1078.54,0,0.00,0,0,0,0.00,595,88748.42,42,7.1,7182.17,342.00,0.00,422.09,5654.14,498,2720,1110
2024-08-06,14,RNR-BLYTHEVILLE,1092.44,1116.00,166.64,0.00,125.40,0.00,109.99,15.00,2625.47,267.56,1843.98,0.00,3503.83,3503.83,2240.07,0.00,0.00,994.95,268.25,-0.56,63.45,226.29,2,381.04,2,415.68,0,2,0,0.00,621,85401.25,220,35.4,12705.68,3602.67,149.05,2993.10,4504.33,480,2891,1404
2024-08-06,15,RNR-ALEXANDRIA,2223.06,62.00,246.62,10.00,125.95,0.00,233.75,20.00,2921.38,277.34,-313.65,0.00,2816.90,2816.90,137.05,0.00,0.00,764.43,1915.49,0.07,62.70,157.33,2,311.89,1,104.00,2,1,0,0.00,894,131665.92,204,22.8,28994.65,2107.71,48.03,2010.33,20517.13,728,3972,1521
2024-08-06,16,RNR-RUSTON,1684.80,0.00,164.31,18.67,99.00,0.00,144.97,58.32,2170.07,216.11,204.10,0.00,2590.28,2590.28,623.26,-287.00,0.00,2264.46,0.00,10.44,48.27,42.85,3,368.05,0,0.00,1,0,0,0.00,663,89163.33,152,22.9,10307.40,3230.70,182.03,1276.04,7101.10,518,2887,1205
2024-08-06,17,RNR-JOPLIN,1801.96,99.95,289.03,8.22,155.57,0.00,278.44,35.00,2668.17,202.59,98.87,0.00,2861.58,2861.58,174.07,0.00,0.00,1980.67,706.84,0.00,11.02,183.46,2,277.23,3,316.09,0,3,0,0.00,1155,158634.02,312,27.0,25750.12,4707.89,45.00,3932.21,15836.94,935,4926,1285
