Summary Date,Store #,Store Name,Rental Income,Net Sales,GRP Amount,Processing Fees,Late Fees,Returned Check Charge,Fees and Charges,Club And ESP,Total Revenue,Tax,Net Receivable,NSF Refunds,Total Bank Deposit,Total Cash,Deposit 1,Deposit 2,Deposit 3,Deposit 4,Deposit 6,Rental Over Short,Freetime Amount,Free New Agreements,Agreement Deliveries,Potential Revenue Deliveries,Agreement Pickups,Potential Revenue Pickups,Agreement Payouts,Potential Revenue Payoffs,Agreement Chargeoffs,Potential Revenue Skips,Open Agreement Count,Potential Revenue,Total Past Due Nbr,PD%,Total Past Due Amount,Past Due 1-4 Amount,Past Due 5-7 Amount,Past Due 8-15 Amount,Past Due 16+ Amount,Past Due 32+ Amount,Customer Count,Units On Rent,Avg Rate,Idle Units
08/13/2024,1,RNR-JACKSONVILLE,1556.81,0,273.7,9.41,189.22,0,162.53,15,2206.67,205.77,27.65,0,2440.09,2440.09,271.24,0,0,1175.61,993.24,0,6.28,0,1,104,0,0,0,0,0,0,775,105159.65,196,25.3,12397.66,4744.89,57.04,422,9550.73,7798.68,620,3592,135.69,1266
08/13/2024,2,RNR-MABELVALE,4401.76,0,255.74,0,208.8,0,208.73,62.86,5137.89,443.55,-1474.96,0,4106.48,4106.48,672.35,0,0,2200.37,1229.29,-4.47,32.42,27.07,5,770.85,2,342.07,5,775.07,0,0,677,95572.05,186,27.5,13280.47,3517.01,0,1126.24,10992.56,8361.06,516,3268,141.17,1085
08/13/2024,3,RNR-CONWAY,1539.64,0,191.16,5.69,121,0,164.07,36.66,2058.22,178.38,304.3,0,2540.9,2540.9,0,0,0,0,528.21,0,70.33,141.03,2,186.24,0,0,0,0,0,0,807,107097.83,241,29.9,13126.76,5929.08,0,828,9792.69,7239.54,704,3525,132.71,1220
08/13/2024,4,RNR-FAYETTEVILLE,1845.01,2344,220.07,0.13,191.4,0,140.18,25,4765.79,461.72,3126.97,0,5783.11,5783.11,2918,0,0,366.36,2498.75,0,122.55,214.65,5,765.11,3,506.61,1,51.96,0,0,800,105382.95,240,30,12834.04,4346.88,16,3335,8182.33,6518.33,652,3697,131.73,895
08/13/2024,5,RNR-ROGERS,3345.89,150.13,293.26,12.55,191.78,0,235.81,120.56,4349.98,415.21,2149.8,0,6750.59,6750.59,886.05,0,75,2377.55,3411.99,0,280.14,636.58,9,1333.64,1,116.91,3,368.12,0,0,1462,191905.01,263,18,15693.27,5239.3,0,1725.03,11927.45,9787.34,1064,6523,131.26,2062
08/13/2024,6,RNR-LITTLE ROCK,3623.14,49.95,390,0,178.2,0,249,65,4555.29,411.76,-2127.95,0,2784.84,2784.84,362,0,0,2339,83.19,-0.65,76.79,154.58,1,199.18,0,108.25,3,441.66,0,0,871,114858.37,342,39.3,12910.89,8540.75,0,1287.92,7938.13,6019.09,696,4000,131.87,1274
08/13/2024,7,RNR-FT.SMITH,2645.42,149.85,317.73,10.33,138.6,0,258.46,23.8,3544.19,339.59,309.86,0,4029.54,4029.54,547.49,0,52.96,1492.84,1836.25,0,328.45,530.4,13,2026.25,0,0,1,173.2,0,0,1540,213411.8,247,16,18596.34,4518.83,147,2050.66,14801.93,11184.16,1247,6630,138.58,1348
08/13/2024,8,RNR-JONESBORO,1280.66,49.95,167.46,20.37,171.6,0,141.13,41.05,1872.22,154.7,1162.41,0,3135.13,3135.13,171.06,0,0,2051.86,912.18,-0.03,173.36,476.6,3,476.6,1,168.87,3,290.11,0,0,1311,177399.81,350,26.7,18689.77,8477.51,24.01,1380.13,13587.32,11310.32,1042,6057,135.32,1267
08/13/2024,9,RNR-PARAGOULD,704.98,0,130.14,11.83,109.01,0,109.79,1.22,1066.97,95.6,132.11,0,1294.68,1294.68,213.54,0,0,639.69,420.64,-20.81,114.34,214.15,5,701.46,0,0,0,0,0,0,747,105828.55,162,21.7,10818.56,3658.09,0,1328.09,7987.15,6439.11,605,3385,141.67,1348
08/13/2024,10,RNR-SPRINGFIELD,994.2,0,166.66,5,75,0,137.86,30,1408.72,91.87,493.17,0,1993.76,1993.76,440,0,0,1104.57,449.19,0,82.43,271.81,4,420.08,3,514.53,0,0,0,0,866,124849.85,267,30.8,21834.81,4713.74,0,2932.89,17349.35,14334.49,678,3923,144.17,977
08/13/2024,11,RNR-WEST PLAINS,1588.12,40,176.66,0,60,0,150.66,40,2055.44,167.78,404.14,0,2584,2584,143.36,0,0,2108.52,332.12,0,52.38,76.39,1,99.64,2,333.41,1,116.91,0,0,869,125106.59,184,21.2,12020.67,3669.83,0,1877.95,9098.41,6806.95,702,3695,143.97,1119
08/13/2024,12,RNR-WEST MONROE,2202.23,311.2,298.71,9.92,250.8,0,243.52,75,3391.38,326.69,350.41,0,3725.03,3725.03,390.19,0,0,2516.99,817.85,0,94.37,25.71,2,233.88,1,173.2,0,0,0,0,855,126763.72,229,26.8,16238.66,5336.58,0,809.99,12881.59,10587.52,683,3654,148.26,1505
08/13/2024,13,RNR-HOT SPRINGS,1625.68,0,152.83,15.66,26.9,0,132.36,40,1993.43,197.82,225.93,0,2417.18,2417.18,80,0,0,920,1417.18,0,20.8,98.58,2,398.36,0,0,2,307.43,0,0,606,90731.91,49,8.1,7302.85,479,0,352,6733.29,5504.16,506,2772,149.72,1123
08/13/2024,14,RNR-BLYTHEVILLE,723.11,0,71.66,0,125.4,0,54.95,31.66,1006.78,97.25,183.37,0,1287.4,1287.4,138.25,0,0,388.04,757.32,-3.79,0,0,0,0,2,220.83,0,0,0,0,615,84504.82,218,35.4,14009.22,2987.3,28,3120.33,10564.99,4414.38,477,2863,137.41,1310
08/13/2024,15,RNR-ALEXANDRIA,4314.31,0,474.94,11.02,156.66,0,167.06,44.8,5168.79,498.63,-3659.65,0,2007.77,2007.77,100,0,0,659.8,1247.97,0,188.44,413.99,6,877.48,0,0,3,216.5,0,0,904,132396.61,235,26,33088.66,3188.05,18.01,948.15,30225.44,24339.55,739,4008,146.46,1509
08/13/2024,16,RNR-RUSTON,1226.69,0,134.83,3.66,118.8,0,156.6,53,1693.58,164.25,168.35,0,2026.18,2026.18,238.12,0,0,997.84,790.12,-0.1,89.22,33.85,2,225.16,0,0,0,0,0,0,667,89282.44,157,23.5,9347.57,3560.47,0,1163.13,6813.53,5821.47,523,2903,133.86,1217
08/13/2024,17,RNR-JOPLIN,2351.92,0,175.95,20.48,95,0,169.17,22.14,2834.66,220.85,411.44,0,3466.95,3466.95,141.82,0,0,2745.54,579.59,0,31.48,117.16,5,450.37,0,0,2,259.8,0,0,1150,157686.67,317,27.6,24235.38,4962.77,32.5,3662.12,19555.74,13683.28,937,4884,137.12,1279
08/13/2024,18,RNR-MUSKOGEE,4677.25,164.64,98.85,7.94,30.6,0,68.16,20,5067.44,406.49,-3531.56,0,1762.67,1762.67,113,-52.96,0,1010.99,691.64,0,51.79,15.02,1,112.64,0,0,1,129.9,0,0,554,79082.38,104,18.8,9395.17,2165.56,105.06,734.03,7649.79,7044.79,462,2429,142.75,1124
08/13/2024,19,RNR-BEAUMONT,1107.51,0,94.14,8.29,0,0,93.52,30,1333.46,110.05,272.95,0,1716.46,1716.46,140,0,0,1026.07,439.39,0,4.13,6.29,1,95.26,1,103.92,1,151.55,0,0,765,112743.32,210,27.5,25300.93,2223.01,361.2,3058.11,21345.17,16996.17,611,3446,147.38,1125
08/13/2024,20,RNR-VAN BUREN,2119.17,99.9,185.01,10.02,123.2,0,163.04,5,2705.34,249.6,304.83,0,3150.61,3150.61,894.45,0,0,1483.75,772.41,0,141.13,418.45,4,562.98,1,129.9,2,246.81,0,0,676,90750.54,117,17.3,6786.32,2178.06,0,1434.61,4686.7,3725.7,588,2839,134.25,966
08/13/2024,21,RNR-BOSSIER CITY,1952.29,732.35,192.73,65.45,158.4,0,217.22,50.72,3369.16,299.15,1175.86,0,4043.04,4043.04,180,0,0,2018.35,1844.69,0,16.69,209.29,7,1156.11,0,0,3,359.39,0,0,1230,179992.7,339,27.6,21003.91,8012.66,0,1557.09,16085.02,12549.45,1006,4975,146.34,1952
08/13/2024,22,RNR-TEXARKANA,2358.87,0,170.13,30.96,0,0,148.49,10,2718.45,224.32,295.49,0,3238.26,3238.26,129.14,0,0,2579.42,522.6,-7.1,75.19,107.72,3,428.67,2,333.41,2,281.53,0,0,1080,154978.87,281,26,17161.81,6577.91,0,1971.13,12674.57,10455.61,870,4817,143.5,1463
08/13/2024,23,RNR-LAKE CHARLES,4833.17,68.06,412.63,35.27,384.32,0,392.03,110,6235.48,593.68,78,0,6832.16,6832.16,187,0,0,3833.74,2811.42,0,17.97,-219.14,4,562.9,1,255.47,2,311.76,0,0,1570,231872.49,426,27.1,28763.6,10222.52,0,2252,22209,18264,1272,7064,147.69,1321
08/13/2024,24,RNR-SPRINGFIELD 2,1067.32,528.61,126.66,10,65,0,67.29,12.86,1877.74,146.71,1460.68,0,2913.86,2913.86,120,0,0,1997.17,701.69,0,92.35,292.01,7,1242.71,1,112.58,0,0,0,0,1325,181655.07,331,25,18387.15,7036.85,0,3023.67,13154.2,9113.13,992,5631,137.1,1037
08/13/2024,25,RNR-SPRINGDALE,1178.59,0,124.56,23.3,46.2,0,117.94,49.25,1539.84,150.2,1237.5,0,2927.54,2927.54,565,-75,0,1884.62,552.92,0,512.68,539.63,12,1277.57,4,723.11,1,80.11,0,0,1008,140950.42,287,28.5,16463.19,5960.01,62.04,2410,11977.15,7865.21,770,4559,139.83,1319
08/13/2024,26,RNR-LAFAYETTE,2876.92,69.15,268.73,67.46,264,0,263.8,133.57,3943.63,308.91,2763.35,0,6940.9,6940.9,360,0,0,4880.16,1700.74,0,160.32,-89.06,8,1102.84,1,108.25,1,82.27,0,0,1266,185292.36,375,29.6,40585.49,5007.76,0,4571.52,34617.06,25894.76,996,5793,146.36,1490
08/13/2024,27,RNR-LONGVIEW,1753.34,0,208.28,16.58,10,0,185.58,60,2233.78,183.56,584.47,0,3001.81,3001.81,430,0,0,287,2284.81,0,8.26,17.14,2,259.8,2,259.9,0,0,0,0,704,98117.35,156,22.2,8057.07,3371.03,32.01,1351.2,5548.15,3893.74,573,3334,139.37,1619
08/13/2024,28,RNR-LAWTON,2555.8,0,231.66,9.95,202.4,0,213.06,25,3237.87,253.26,181.67,0,3672.8,3672.8,510,0,0,489.61,2673.19,0,91.93,102.14,3,458.98,2,294.44,1,155.88,0,0,806,108211.78,178,22.1,10770.56,3702.77,45,1058.01,8033.11,6128.93,589,3654,134.26,1204
08/13/2024,29,RNR-RUSSELLVILLE,1616.42,49.95,213.32,10,118.8,0,221.79,31.66,2261.94,206.3,606.15,0,3019.94,3019.94,119,0,0,1044.56,1856.38,0,0,6.86,1,207.84,2,251.32,1,103.92,0,0,1044,144804.16,218,20.9,16982.74,3156.26,153.02,1980.23,14204.06,8125.3,823,4575,138.7,1467
08/13/2024,30,RNR-PARIS,6211.64,0,594.28,17.3,0,0,308.46,155,7286.68,601.36,-5469.33,0,2418.71,2418.71,428.82,0,0,612.74,1377.15,0,140.46,412.9,4,523.97,0,0,1,138.56,0,0,784,112230.59,143,18.2,9034.79,2944.85,0,1556.64,6529.85,5580.25,574,3640,143.15,985
08/13/2024,31,RNR-WICHITA FALLS,520.08,0,47.86,5.72,10,0,34.29,5,622.95,50.58,388.63,0,1062.16,1062.16,186.61,0,0,532.56,342.99,0,37.38,0,1,103.92,0,0,0,0,0,0,337,43143.16,73,21.7,4426.04,1355.02,55,857,3075,2425,247,1513,128.02,869
08/13/2024,32,RNR-MIDLAND,1566.65,308.95,86.17,34.39,0,0,74.48,22.86,2093.5,172.76,-234.54,0,1697.28,1697.28,68.13,0,0,20,1609.15,0,25.54,104.81,4,705.89,0,0,1,238.15,0,0,292,47708.07,65,22.3,7290.13,891,0,824,6179.16,4753.16,223,1433,163.38,1361
