Date,Location,2535 · Sales Tax Coll,4000-00 · Rental Income,4100-00 · Cash Sales,4102-00 · Cash Sales - Non-inventory,4105-00 · Early Purchase Option,4200-00 · Roll Pro,4205-00 · Collection Fee - In-House,4210-00 · Reinstatement Fees,4214-00 · Other Fees - Alignments,4215-00 · One Time Fees,4225-00 · NSF Check Fees,4230-00 · Other Miscellaneous Income,4235-00 · Sales Tax Collected,4240-00 · Roll Safe,4250-00 · Chargebacks,4245-00 · Management Fee,4300-00 · Sub-franchisee Royalty Income,5000-00 · Depreciation - Inventory,5101-00 · Paid Out & EPO Charge Offs,5102-00 · Cash Sale Charge Offs,5103-00 · Skip/Stolen Charge Offs,5104-01 · Insurance Charge Offs,5104-02 · Returned Damaged/Non-Repairable,5104-00 · Non-Repairable Charge Offs - Other,5105-00 · Other Charge off,5105-01 · Past Due Account Charge Off,5106-00 · Inventory Cost Adjustment,5100-00 · Charge Off Expense - Other,5400-00 · Club Remittance,5500-00 · Rent Refunds,6070-00 · Parts - Inventory Repair,6071-00 · Labor - Inventory Repair,6069-00 · Inventory Repairs - Other,6500-00 · Radio - Admin,6505-00 · Television Advertising,6508-00 · Radio & TV Production,6510-00 · Print Media,6511-00 · Print Production,6512-00 · Postage - Advertising,6513-00 · Freight - Advertising,6514-00 · Newspaper/Magazine Advertising,6520-00 · Other Print,6525-00 · Telephone Directories,6535-00 · Marquee/Billboards,6540-00 · Customer Referrals,6541-00 · Website Development,6550-00 · Sponsorships,6551-00 · Internet/Online,6490-00 · Advertising and Promotion - Other,6530-00 · Special Events,6545-00 · Website,6018-00 · Cash Short (Long),6031-00 · VIN Search Fees,6515-00 · Internal Postage,6560-00 · Administrative & Collections,6555-00 · Other Selling Expenses - Other,6001-00 · Selling Expense - Other,6020-00 · Bad Checks,6021-00 · NSF Check Fees,6023-00 · Bank Card Fees,6025-00 · Bank Service Charges,6026-00 · Late Fees,6019-00 · Bank Charges - Other,6002-00 · General & Admin Expense - Other,6034-00 · Legal Fees,6035-00 · Accounting Fees,6036-00 · Consulting Fees,6029-00 · Professional Fees - Other,6040-00 · Property & General Liability,6045-00 · Officer's Life,6039-00 · Insurance Expense - Admin - Other,6000-00 · Office Supplies,6010-00 · Postage,6015-00 · Freight,6065-00 · General Supplies,"6059-00 · Postage, Freight & Supplies - Other",6300-00 · Rent Expense,6305-00 · Utilities,6310-00 · Property Insurance,6315-00 · Security,6320-00 · Pest Control,6325-00 · Repair & Maintenance Building,6326-00 · Relocation Expenses,6068-00 · Occupancy Expense - Other,6330-00 · Repairs & Maintenance - Equip,6335-00 · Equipment Rental,6079-00 · Equipment Expense - Other,"6100-00 · Depreciation Expense - F,F&E",6105-00 · Amortization Expense,6400-00 · Repair & Maintenance - Vehicles,6405-00 · Fuel & Oil - Vehicle,6410-00 · Lease - Vehicle,6420-00 · Vehicle Insurance,6430-00 · Vehicle Licenses,6399-00 · Vehicle Expense - Other,6499-00 · Depreciation Expense,6085-00 · Charitable Contributions,6090-00 · Customer Settlements,6598-00 · Other - Other,6600-00 · Software license fees,6610-00 · Computer Supplies,6615-00 · Computer Maintenance & Repair,6650-00 · Telephone & Communications,6599-00 · Computer & Internet Expenses - Other,6999-00 · Miscellaneous Expense,6201-00 · Salary,Total 6202-00 · Hourly,6203-00 · Overtime hourly,6204-00 · Holiday,6205-00 · Bonus,6205-99 · Bonus Reimbursement Due,6200-00 · Salaries & Wages - Other,6077-00 · Mileage Reimbursement,6075-00 · Travel Expense,6078-00 · Meals & Entertainment,6074-00 · Travel & Entertainment - Other,6082-00 · Dues - Deductible,6095-00 · Dues - Non Deductible,6081-00 · Dues & Subscriptions - Other,6227-00 · FFCRA Taxes,6221-00 · Unemployment Taxes,6226-00 · FICA Match,6220-00 · Payroll Taxes - Other,6235-00 · Retirement Benefits,6225-00 · Group Health & Life Insurance,6230-00 · Worker's Compensation,6239-00 · Insurance Expense - Employee - Other,6240-00 · Medical Expenses,6245-00 · Employee Procurement,6246-00 · Drug Screening,6250-00 · Employee Moving Expense,6255-00 · Seminars & Education,6260-00 · Employee Training,6265-00 · Uniforms,6270-00 · Awards & Gifts,6275-00 · Banquet,6280-00 · Special Events,6285-00 · Leased Employees,6370-00 · Moving Expense - Administrative,7011-00 · Other Employee Expense - Other,7010-00 · Payroll Expenses - Other,6050-00 · Franchise Tax,6052-00 · Personal Property,6054-00 · Real Estate,6056-00 · Sales & Use Tax,6058-00 · Waste Tire tax,6060-00 · Miscellaneous Tax,6080-00 · Business Licenses & Permits,6086-00 · Fines & Penalties,6088-01 · Royalty Fees Sherwood,6088-02 · Royalty Fees Mabelvale,6088-03 · Royalty Fees Conway,6088-04 · Royalty Fees Fayetteville,6088-05 · Royalty Fees Rogers,6088-06 · Royalty Fees Dallas,6088-07 · Royalty Fees Ft Smith,6088-91 · Royalty Fees Admin,6088-00 · Royalty Fees - Other,"7013-00 · Tax, License & Permit Expense - Other",6030-00 · Operational Overhead,7001-00 · Proceeds from Sale of Assets,7001-06 · Sale of Dallas,7002-00 · Other Income,7003-00 · Interest Income,7004-00 · Purchase Discount,7006-00 · Insurance Proceeds Received,7001-01 · Loss on Disposal of assets,8000-00 · Interest Expense,9000-00 · Overhead Allocation,9999-00 · Ask My Accountant,Customers,Deliveries,Pickups,Payoffs,Skips,$Ideal/Cust,$Ideal/Agre,Beg Ideal,End Ideal
8/31/2021,2202,,76563.84,6222.48,0,16740.77,9298.06,0,5745.5,6337.4,1328.47,0,1693,0,4079,0,0,0,20704.65,8176.77,3696.01,0,2231.87,1035.65,0,0,10191.57,578.66,0,2636.62,0,0,0,0,7750.5,0,0,25,0,0,0,0,0,0,0,0,0,0,1276.06,209.12,0,0,6.81,0,0,0,0,0,0,0,2617.09,51.63,0,0,0,0,3840.26,0,0,902.07,0,0,237.96,0,0,2136.02,0,4000,2316.53,0,35,0,119.73,0,0,0,0,0,0,4270.07,0,198.39,596.82,377.02,0,0,1601.42,0,0,0,502.54,0,0,1504.73,0,0,5320,6674.61,722.14,0,4094.16,0,0,0,140,0,0,0,99.75,125.88,0,43.04,1269.35,0,0,245.22,435.55,0,0,493.15,0,0,0,270,114.05,0,0,0,0,0,0,0,0,342.64,575.53,0,272,0,0,0,0,0,0,0,0,0,0,0,3789.47,0,3789.47,0,0,0,0,603.6,0,0,0,0,0,506,78,34,37,23,189.95,116.22,97703,96113
9/30/2021,2202,,71284.24,21141.29,0,20647.24,8959.48,0,5487.02,6344.28,1233.71,0,2507.31,0,3961.78,0,0,0,20185.93,13417.82,12458.21,0,3606.51,499.42,0,357.56,7799.05,81.48,0,2551.5,0,0,0,0,7767.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.52,202.75,0,0,254.59,0,0,0,0,0,0,0,2527.79,45.44,0,0,0,0,4246.99,0,0,1013.83,0,0,4.72,0,290.5,1624.67,42.36,4000,2184.56,0,35,0,9.53,0,0,0,0,0,0,4270.07,0,66.48,596.82,435.15,0,0,1601.42,0,0,0,710.12,0,0,339.08,0,0,4750,7601.5,984.25,384,2606.13,0,0,0,33.33,40.2,0,0,0,125.88,0,104.67,1232.25,0,0,245.22,435.55,0,0,665.25,0,0,0,0,299.45,0,0,0,0,0,0,0,0,342.64,575.53,0,472,175,0,0,0,0,0,0,0,0,0,0,4171.77,0,4171.77,0,0,0,0,73.6,0,0,0,0,0,498,107,47,59,17,189.36,116.28,96082,94300
10/31/2021,2202,,75011.35,6637.75,0,17553.09,9405.94,0,6125.52,6280.86,1850.45,0,2871.68,0,3890.46,0,0,0,20537.1,10311.88,3717.08,0,2819.57,0,0,0,9183.86,13.15,0,2398.19,0,0,0,0,7662.5,0,0,0,0,0,0,0,511.44,0,0,0,0,0,1032.38,195.76,0,0,-532.82,0,0,0,0,0,0,0,2415.16,36.11,32.27,0,0,0,3888.81,0,0,762.82,0,0,281.03,0,358.75,1074.4,0,4000,1288.74,0,42.5,0,733.28,0,0,0,0,0,0,4270.07,0,150.84,-537.17,290.1,0,0,1575.93,0,0,0,490.46,0,0,327.89,0,0,5225,9265.34,1243.28,0,3624.81,0,0,0,39.99,0,0,0,0,178.84,0,162.14,1446.14,0,0,573.03,145.19,0,0,565.31,0,0,0,0,120.39,0,0,0,0,0,0,0,150,342.64,575.53,0,460,0,0,0,0,0,0,0,0,0,0,0,3802.66,0,3802.66,0,0,0,0,73,0,0,0,0,0,488,83,47,61,17,182.44,115.62,94334,89031
11/30/2021,2202,,63947.81,14501.96,0,12955.86,8449.7,0,4537.23,5841.61,1923.29,0,2784.01,0,3149.48,0,0,0,17053.76,8425.24,7825.63,0,2483.9,856.78,0,0,6821,-221.4,0,2095.04,0,0,0,0,7650,0,0,0,0,0,0,0,0,0,0,0,0,0,1122.53,201.58,400,0,103.45,0,0,0,0,0,0,0,2681.66,67.36,0,0,0,0,3542.73,0,0,1739.31,0,0,694.15,130.73,1004.5,2970.82,0,4999.69,1844.94,0,105,0,53,0,0,0,0,0,0,4270.07,0,147.95,-268.58,290.1,0,0,1924.84,0,0,0,495.45,0,0,326.24,0,0,4750,11487.74,892.59,258.96,3048.32,0,0,0,0,56.59,0,0,0,178.84,0,217.29,1528.68,0,0,-636.89,145.19,0,0,172.19,0,0,0,0,350.6,0,0,0,0,0,0,0,0,586.8,987.1,0,350,0,0,0,0,0,0,0,0,0,0,0,3459.21,0,3459.21,0,0,0,0,67.5,0,0,0,0,0,483,110,56,46,23,182.82,117.11,88861,88303
12/31/2021,2202,,70322.19,3627.8,0,17377.5,9484.19,0,5209.24,6751.56,1673,0,2727.31,0,3234.82,0,0,0,20311.24,13788.39,1796.85,10000,4312.33,1167.87,0,74.96,-4097.32,-189.23,0,2298.38,0,0,0,0,7775,0,0,0,0,0,0,0,114.59,0,0,0,0,0,1177.36,123.7,0,0,-309.74,0,0,0,0,0,0,0,2409.24,48.34,0,0,0,0,3612.23,0,0,1739.31,0,0,245.25,0,190.75,356.28,0,4999.69,1922.08,0,0,0,1844.45,0,0,0,0,0,0,4270.07,11.07,251.83,-268.58,290.1,0,0,1924.86,0,0,0,421.2,0,0,326.26,0,0,4366.68,12309.88,1187.83,258.96,2223.35,0,0,0,0,0,0,0,0,278.59,0,451.25,1732.24,0,0,594.31,145.19,0,0,352.07,48,0,0,0,337.86,0,0,0,0,0,0,0,0,1535.22,987.1,0,462,0,0,0,0,0,0,0,0,0,0,0,3530.41,0,3530.41,0,0,0,0,73.1,0,0,0,0,0,467,113,52,66,20,182.33,116.8,88303,85147
1/31/2022,2202,,63278.78,10301.88,0,11764,8507.9,0,4296.5,5836.56,1327,0,4015.7,0,2808.8,0,0,0,17011.39,7869.33,6953.02,0,4150.05,780,0,0,9500.31,502.9,0,2044.75,0,0,0,0,6071.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.12,206.77,0,0,7.4,0,0,0,0,0,0,0,2637.45,42.24,0,0,0,0,3373.11,0,0,713.07,0,0,369.87,0,120,2477.8,0,5281.35,2215.28,0,312.64,0,443.53,0,0,314.95,0,0,0,4270.07,78.96,300.5,-268.58,377.28,0,0,1924.86,0,0,0,0,0,0,325.21,0,0,4465,10799.88,930.13,258.96,3022.76,0,0,0,0,53.78,0,0,100,54.36,0,621.44,1455.18,0,0,556.54,145.19,0,0,45.57,0,0,0,0,178.85,0,0,0,0,0,0,0,0,462.37,0,0,332,0,0,0,0,0,0,0,0,0,0,0,3252.64,0,3243.64,0,0,0,0,66.6,0,0,0,0,0,453,69,32,38,16,185.33,117.42,85359,83954
2/28/2022,2202,,65037.39,6153.48,0,12717.52,8720.49,0,4597.95,5884.66,1273.18,100,1733.32,0,3263.41,0,0,0,16601.89,5902.81,4348.92,0,1924.72,862.82,0,0,-2950.89,792.58,0,2166.68,0,0,0,0,6083.76,0,0,114.38,0,0,0,0,61.48,0,0,0,0,50,1735.7,275.7,0,0,6.55,0,0,0,0,0,0,0,2389.63,30.85,0,0,0,0,3284.44,0,0,710.07,0,0,243.45,11.6,512.75,2646.78,0,5281.35,2675.39,0,105,0,144.82,0,0,216,0,0,0,4270.07,0,174.83,-268.58,377.28,0,0,1924.86,0,0,0,422.98,0,0,323.98,0,0,4333.34,10959.15,843.19,0,2205.2,0,0,0,0,0,0,99.75,0,66,0,558.3,1368.27,0,0,556.54,145.19,0,0,114.44,0,0,0,0,211.44,0,0,0,0,0,0,0,0,462.37,0,-51.85,440,0,0,0,0,0,0,0,0,0,0,0,3232.44,0,3232.44,0,0,0,0,120,0,0,4.79,0,0,462,86,20,41,14,187.74,119.47,83954,86735
3/31/2022,2202,,71906.69,16197.8,0,13695.54,8839.98,0,4337.85,6282.41,1830.08,0,3174.62,0,3286.72,0,0,0,18087.08,7463.06,8498.16,0,2652.66,-121,0,-523.31,14541.95,1119.19,0,2198.88,0,0,0,0,6071.26,0,0,50,0,0,0,0,0,0,0,0,0,50,1911.81,261.49,0,0,-29.41,0,0,0,0,0,0,0,2484.21,40.23,0,0,0,0,3886.55,0,0,909.6,0,0,342.2,0,434,1066.72,0,4833.34,1764.7,0,0,0,758.66,0,0,0,0,0,0,4270.07,0,278.71,-268.58,377.28,0,0,1924.86,0,0,0,731.83,0,0,362.49,0,0,4166.68,12656.1,1081.19,0,3706.91,0,0,0,0,104.93,0,0,0,66,0,381.37,1591.84,0,0,772.87,145.19,0,0,0,0,0,0,0,221.53,0,0,0,0,0,0,0,0,462.37,0,35.45,514,175,47.5,0,0,0,0,0,0,0,0,0,3791.31,0,3791.31,0,0,0,0,76.7,0,0,0,0,0,477,120,21,44,21,197.4,123.9,86606,94162
4/30/2022,2202,,80423.87,8222.85,0,16407.14,10702.93,0,5465.02,7158.06,1907.11,0,2647.15,0,4171.07,0,0,0,20702.52,8411.48,4157.36,-734.24,1652.44,186.99,0,0,-3806.81,279.92,0,2696.35,0,0,0,0,6133.76,0,0,26.18,0,0,0,0,0,0,0,0,0,0,1578.81,245.63,124.48,0,-69.63,0,0,0,0,0,0,0,3577.67,38.88,0,0,0,0,4113.16,0,0,906.6,0,0,199.2,0,316.75,1765.45,0,4833.34,2000.59,0,0,0,1423.55,0,0,0,0,0,0,4270.07,0,356.1,-268.58,377.28,0,0,1924.86,0,0,0,429.09,0,0,351.23,0,0,4166.68,12923.37,1409.54,0,2562.72,0,0,0,0,0,0,0,0,66,0,146.2,1543.25,0,0,955.18,145.19,0,0,0,0,0,46.65,0,197.72,0,0,0,0,0,0,0,0,462.37,0,17.62,456,0,0,0,0,0,0,0,0,0,0,0,4033.74,0,4033.74,0,0,0,0,72.77,0,0,0,0,0,480,129,49,50,18,207.95,129.13,94359,99816
5/31/2022,2202,,78210.19,9680.9,0,13694.36,9365.21,0,4825.26,6777.92,1464.32,0,2618.73,0,4056.98,0,0,0,21098.1,8424.55,4881.9,-249.04,3231.22,1142.76,0,0,5124.17,504.03,0,2429.81,0,0,0,0,6858.76,0,0,59.68,0,0,0,0,0,0,0,0,0,0,1618.14,333.17,35.29,0,-465.3,0,0,0,0,0,0,0,3430.01,34.03,0,0,0,0,3920.81,0,0,906.6,0,0,447.18,0,336,1964.69,0,4833.34,1303.7,0,105,0,17.45,0,0,0,0,0,0,4270.07,289.73,144.39,2148.59,377.28,0,0,489.89,0,0,0,443.67,0,0,342.62,0,0,5035,11937.5,576.68,606.96,6242.12,0,0,0,0,36.75,0,0,0,66,0,14.12,1798.45,0,0,955.18,1415.4,0,0,215.9,0,0,0,0,423.29,0,0,482,2086.3,0,0,0,0,462.37,0,72.16,410,0,0,0,0,0,0,0,0,0,0,0,3842.25,0,3842.25,0,0,0,0,71.7,0,0,0,0,0,488,110,32,46,19,208.4,129.39,99802,101699
