Date,Location,2535 · Sales Tax Coll,4000-00 · Rental Income,4100-00 · Cash Sales,4102-00 · Cash Sales - Non-inventory,4105-00 · Early Purchase Option,4200-00 · Roll Pro,4205-00 · Collection Fee - In-House,4210-00 · Reinstatement Fees,4214-00 · Other Fees - Alignments,4215-00 · One Time Fees,4225-00 · NSF Check Fees,4230-00 · Other Miscellaneous Income,4235-00 · Sales Tax Collected,4240-00 · Roll Safe,4250-00 · Chargebacks,4245-00 · Management Fee,4300-00 · Sub-franchisee Royalty Income,5000-00 · Depreciation - Inventory,5101-00 · Paid Out & EPO Charge Offs,5102-00 · Cash Sale Charge Offs,5103-00 · Skip/Stolen Charge Offs,5104-01 · Insurance Charge Offs,5104-02 · Returned Damaged/Non-Repairable,5104-00 · Non-Repairable Charge Offs - Other,5105-00 · Other Charge off,5105-01 · Past Due Account Charge Off,5106-00 · Inventory Cost Adjustment,5100-00 · Charge Off Expense - Other,5400-00 · Club Remittance,5500-00 · Rent Refunds,6070-00 · Parts - Inventory Repair,6071-00 · Labor - Inventory Repair,6069-00 · Inventory Repairs - Other,6500-00 · Radio - Admin,6505-00 · Television Advertising,6508-00 · Radio & TV Production,6510-00 · Print Media,6511-00 · Print Production,6512-00 · Postage - Advertising,6513-00 · Freight - Advertising,6514-00 · Newspaper/Magazine Advertising,6520-00 · Other Print,6525-00 · Telephone Directories,6535-00 · Marquee/Billboards,6540-00 · Customer Referrals,6541-00 · Website Development,6550-00 · Sponsorships,6551-00 · Internet/Online,6490-00 · Advertising and Promotion - Other,6530-00 · Special Events,6545-00 · Website,6018-00 · Cash Short (Long),6031-00 · VIN Search Fees,6515-00 · Internal Postage,6560-00 · Administrative & Collections,6555-00 · Other Selling Expenses - Other,6001-00 · Selling Expense - Other,6020-00 · Bad Checks,6021-00 · NSF Check Fees,6023-00 · Bank Card Fees,6025-00 · Bank Service Charges,6026-00 · Late Fees,6019-00 · Bank Charges - Other,6002-00 · General & Admin Expense - Other,6034-00 · Legal Fees,6035-00 · Accounting Fees,6036-00 · Consulting Fees,6029-00 · Professional Fees - Other,6040-00 · Property & General Liability,6045-00 · Officer's Life,6039-00 · Insurance Expense - Admin - Other,6000-00 · Office Supplies,6010-00 · Postage,6015-00 · Freight,6065-00 · General Supplies,"6059-00 · Postage, Freight & Supplies - Other",6300-00 · Rent Expense,6305-00 · Utilities,6310-00 · Property Insurance,6315-00 · Security,6320-00 · Pest Control,6325-00 · Repair & Maintenance Building,6326-00 · Relocation Expenses,6068-00 · Occupancy Expense - Other,6330-00 · Repairs & Maintenance - Equip,6335-00 · Equipment Rental,6079-00 · Equipment Expense - Other,"6100-00 · Depreciation Expense - F,F&E",6105-00 · Amortization Expense,6400-00 · Repair & Maintenance - Vehicles,6405-00 · Fuel & Oil - Vehicle,6410-00 · Lease - Vehicle,6420-00 · Vehicle Insurance,6430-00 · Vehicle Licenses,6399-00 · Vehicle Expense - Other,6499-00 · Depreciation Expense,6085-00 · Charitable Contributions,6090-00 · Customer Settlements,6598-00 · Other - Other,6600-00 · Software license fees,6610-00 · Computer Supplies,6615-00 · Computer Maintenance & Repair,6650-00 · Telephone & Communications,6599-00 · Computer & Internet Expenses - Other,6999-00 · Miscellaneous Expense,6201-00 · Salary,Total 6202-00 · Hourly,6203-00 · Overtime hourly,6204-00 · Holiday,6205-00 · Bonus,6205-99 · Bonus Reimbursement Due,6200-00 · Salaries & Wages - Other,6077-00 · Mileage Reimbursement,6075-00 · Travel Expense,6078-00 · Meals & Entertainment,6074-00 · Travel & Entertainment - Other,6082-00 · Dues - Deductible,6095-00 · Dues - Non Deductible,6081-00 · Dues & Subscriptions - Other,6227-00 · FFCRA Taxes,6221-00 · Unemployment Taxes,6226-00 · FICA Match,6220-00 · Payroll Taxes - Other,6235-00 · Retirement Benefits,6225-00 · Group Health & Life Insurance,6230-00 · Worker's Compensation,6239-00 · Insurance Expense - Employee - Other,6240-00 · Medical Expenses,6245-00 · Employee Procurement,6246-00 · Drug Screening,6250-00 · Employee Moving Expense,6255-00 · Seminars & Education,6260-00 · Employee Training,6265-00 · Uniforms,6270-00 · Awards & Gifts,6275-00 · Banquet,6280-00 · Special Events,6285-00 · Leased Employees,6370-00 · Moving Expense - Administrative,7011-00 · Other Employee Expense - Other,7010-00 · Payroll Expenses - Other,6050-00 · Franchise Tax,6052-00 · Personal Property,6054-00 · Real Estate,6056-00 · Sales & Use Tax,6058-00 · Waste Tire tax,6060-00 · Miscellaneous Tax,6080-00 · Business Licenses & Permits,6086-00 · Fines & Penalties,6088-01 · Royalty Fees Sherwood,6088-02 · Royalty Fees Mabelvale,6088-03 · Royalty Fees Conway,6088-04 · Royalty Fees Fayetteville,6088-05 · Royalty Fees Rogers,6088-06 · Royalty Fees Dallas,6088-07 · Royalty Fees Ft Smith,6088-91 · Royalty Fees Admin,6088-00 · Royalty Fees - Other,"7013-00 · Tax, License & Permit Expense - Other",6030-00 · Operational Overhead,7001-00 · Proceeds from Sale of Assets,7001-06 · Sale of Dallas,7002-00 · Other Income,7003-00 · Interest Income,7004-00 · Purchase Discount,7006-00 · Insurance Proceeds Received,7001-01 · Loss on Disposal of assets,8000-00 · Interest Expense,9000-00 · Overhead Allocation,9999-00 · Ask My Accountant,Customers,Deliveries,Pickups,Payoffs,Skips,$Ideal/Cust,$Ideal/Agre,Beg Ideal,End Ideal,
10/31/2023,2401,0,109428.68,6630.73,0,16035.21,12710.22,48.48,6498.42,8454.01,1172.32,0,1788.08,0,2369.17,0,0,0,27141.52,12174.28,3642.31,0,4900.87,126.97,0,0,3942.67,224.81,0,2939.61,0,0,0,0,3981.16,335,0,0,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-92.57,0,0,0,0,0,0,0,3760.23,25,0,0,0,0,4954.06,0,0,853.42,0,0,78.21,0,470.25,4001.71,0,7000,2280.1,423.83,53.71,0,433.62,0,0,0,67.89,0,579.95,0,143.39,504.27,0,74.38,0,0,0,0,0,0,475.31,2.99,0,624.73,0,0,6820,12730.51,706.95,0,7611.48,0,0,0,0,26.36,0,17.95,0,0,0,4.26,2057.43,0,589.14,2537.87,187,0,0,87.25,75,0,0,18,0,0,0,0,0,0,0,0,0,751.87,387.13,-29,743.55,0,0,0,0,0,0,0,0,0,0,0,4900.42,0,10954.34,0,0,0,0,346.34,0,0,0,0,0,657,79,24,58,7,177.85,143.9,116446,116850,0.93648849
10/31/2023,2402,0,84483.78,403.95,0,9650.94,8657.74,69.41,4489.22,6010.88,955.95,0,2682.91,0,2947.5,-324.08,0,0,20674.47,6736.78,223.08,0,2211.47,1392.97,0,0,8755.8,271.43,0,2269.1,0,0,0,0,3981.17,335,0,0,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-276.79,0,0,0,0,0,0,0,2499.92,0,0,0,0,0,3610.57,0,0,687.54,0,0,984.58,0,279,3988.41,0,6000,1950.81,206.59,69.77,0,78.2,0,0,879.89,67.89,0,1174.71,0,0,462.12,0,74.38,0,0,0,0,0,0,475.31,0,0,937.96,0,0,4730,12857.23,1947.58,0,3783.5,0,0,0,0,0,0,17.95,0,0,0,53.42,1760.84,0,81.95,1212.38,156.47,0,0,395.75,0,0,0,18,43.25,0,0,0,0,0,0,0,0,808.3,205.33,35.98,766.65,0,0,0,0,0,0,0,0,0,0,0,3530.08,0,10954.34,0,0,0,0,214.53,0,0,0,0,0,485,95,15,35,18,196.34,146.05,101081,95225,0.88720168
10/31/2023,2403,0,111234.7,5555.75,0,15595.1,13539.69,12.85,8973.96,9995.91,538,0,3309.47,0,2115.27,-513.8,0,0,27923.15,14161.72,2712.13,-774.96,7535.76,4178.32,0,0,7570.96,42.68,0,3049.75,0,65.25,0,0,4081.17,335,0,0,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-453,0,0,0,0,0,0,0,3442.62,0,0,0,0,0,5126.12,0,0,854.71,0,0,217.48,0,607.5,890.33,0,7000,1034.5,454.45,71.07,0,0,0,0,0,67.89,0,782.66,0,0,842.8,0,74.38,0,0,0,0,0,0,475.32,0,0,341.5,0,0,8051.66,15224.56,1515.98,0,9151.02,0,0,0,0,116.72,0,17.95,0,0,0,0,2522.04,0,547.22,2405.49,227.76,0,0,58,0,0,0,18,0,0,0,0,0,0,0,0,0,537.41,261.39,70.38,1313.85,0,0,0,0,0,0,0,0,0,0,0,5026.84,0,10954.34,0,0,0,0,316.74,0,0,0,0,0,813,144,35,56,18,163.75,140.28,124843,133129,0.835540716
10/31/2023,2404,0,86157.07,3209.3,0,24286.8,10343.99,9.15,6547,7980.08,315.47,0,1977.79,0,1658.25,-687.99,0,0,24744.93,17346.47,1075.27,-305.92,2154.59,1170.9,0,0,3118.41,-284.39,0,2338.38,0,0,0,0,5495.82,335,0,0,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-265.22,0,0,0,0,0,0,0,2745.91,0,0,0,0,0,4274.55,0,0,771.97,0,0,52.68,0,405,3113.48,0,7000,704.85,438.3,48.43,60.36,270,0,0,208.99,64.24,0,736.49,0,0,387.92,0,74.38,0,0,0,0,761.54,0,475.31,0,0,680.81,0,0,5775,13586.71,874.07,0,5925.6,0,0,0,70,0,0,17.95,0,0,0,41.74,1975.27,0,333.6,1646.48,175.54,0,0,343.95,0,0,0,18,155.93,0,0,0,0,0,0,0,0,628.39,383.17,-72.08,973.5,0,0,0,0,0,0,0,0,0,0,0,4215.21,0,10954.34,0,0,0,0,294.97,0,0,0,0,0,602,105,33,66,13,171.59,143.27,111262,103296,0.834079442
10/31/2023,2405,0,179981.96,20692.52,0,27003.23,19527.43,56.71,8972.7,15327.43,950,0,6174.39,0,5188.45,-505,0,0,45689.18,25266.96,8465.67,0,7506.5,1491.01,0,0,5947.43,609.65,0,4826.01,0,0,0,0,5495.83,335,0,0,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-490.98,0,0,0,0,0,0,0,4865.21,15,0,0,0,0,8516.24,0,0,1275.61,0,0,567.59,0,408.75,5131.94,0,12000,1285.93,517.09,34.09,60.23,830.57,0,0,0,128.48,0,3297.66,0,0,809.89,0,74.38,0,0,0,0,0,0,475.32,0,0,375.63,60,0,11285,18381.82,5346.35,0,17002.42,0,0,0,0,0,0,17.95,0,0,0,9.87,3947.6,0,752.17,2527.34,349.02,0,0,87.25,0,0,0,18,34.24,0,0,0,0,0,0,0,0,687.28,829.08,68.7,1855.35,0,0,0,0,0,0,0,0,0,0,0,8331.01,0,10954.34,0,0,555.11,0,570.54,0,0,0,0,0,989,234,94,93,14,188.68,142.56,137044,186608,0.964492198
10/31/2023,2406,0,116010.02,1743,0,14051.57,13460.55,75.8,6558.37,9650.14,434.91,0,3298.76,0,2749.84,-120.36,0,0,28943.47,11652.42,819.19,0,296.76,0,0,0,6635.97,157.14,0,3161.32,0,0,0,0,3981.16,335,0,0,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-16.45,0,0,0,0,0,0,0,3699.46,0,0,0,0,0,5040.99,0,0,852.14,0,0,131.64,0,240.75,3812.69,0,9000,2161.13,447.82,53.81,0,78.2,0,0,0,67.89,0,929.43,538.88,100,346.21,0,74.38,0,0,0,0,0,0,475.31,0,0,541.77,0,0,7010,14669.79,2659.61,0,6269.89,0,0,0,0,0,0,17.95,0,0,0,10.77,2284.31,0,64.89,2792.44,205.39,0,0,558,0,0,0,18,23.35,0,0,0,0,0,0,0,0,873.22,870.63,-47.96,1076.1,0,0,0,0,0,0,0,0,0,0,0,4942.03,0,10954.34,0,0,0,0,338.98,0,0,0,0,0,821,96,22,55,11,164.57,135.25,128269,135116,0.858595725
10/31/2023,2407,0,213564.72,9655.29,0,37165.48,23131.89,29.89,12086.64,17317.89,495.65,0,3560.02,0,3764.76,0,0,0,54566.51,27498.03,4290.03,-73,6475,8052.3,0,0,8295.84,492.82,0,5240.54,0,0,0,0,5387.67,335,0,0,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-60.35,0,0,0,0,0,0,0,6695.49,15,0,0,0,0,9623.17,0,0,1420.08,0,0,1302.31,255,1117.25,7708.04,0,11100,729.18,791.36,104.45,0,273.66,0,0,0,64.24,0,1304,0,381.54,1248.35,0,148.76,0,0,0,0,0,0,475.31,0,0,499.61,0,0,12710,29030.1,7688.89,0,14954.45,0,0,0,374.45,0,0,17.95,0,0,0,30.66,3725.6,0,919.96,4115.47,432.01,0,0,58,0,0,0,18,15.6,0,0,0,0,0,0,0,0,875.06,714.02,-73.99,2017.2,0,0,0,0,0,0,0,0,0,0,0,9516.37,0,10954.34,0,0,0,0,626.3,0,0,0,0,0,1352,233,75,120,12,173.01,140.57,238113,233908,0.913028712
10/31/2023,2408,0,160923.74,6733.9,0,18195.62,20324.46,34.09,11115.67,13021.75,1289.71,0,4635.35,0,3497.25,-368.92,0,0,39809.74,16446.26,3195.48,0,6501.98,1266.57,0,0,14914.27,-245.45,0,4642.4,0,0,0,0,4648.5,335,0,59.68,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-191.83,0,0,0,0,0,0,0,5340.2,0,0,0,0,0,7193.15,0,0,1090.87,0,0,487.64,6.6,0,3428.85,0,9475,1201.76,474.61,91.56,0,104.16,0,0,0,67.06,0,1094.86,0,117.64,1215.75,0,74.38,0,0,0,0,205.4,0,475.32,0,0,534.65,180,0,10521.66,25629.42,2777.03,0,8463.53,0,0,0,420.95,266.9,0,17.95,0,0,0,71.87,3515.82,0,104.07,3199.13,318,0,0,366.5,0,0,0,18,31.84,0,0,0,0,0,0,0,0,646.53,564.64,119,1553.25,0,0,0,0,0,0,0,0,0,0,0,7054.09,0,10954.34,0,0,0,0,430.12,0,0,0,0,0,1138,163,72,82,19,175.26,141.55,190892,199449,0.806841548
10/31/2023,2409,0,91629.48,1669.8,0,19902.17,9697.14,58.6,6368.38,7934.6,741.47,0,1602.07,0,1871.93,-114.98,0,0,24757.01,15569.12,599.62,0,0,0,0,0,7071.28,200.1,0,2255.64,0,0,0,0,4648.5,335,0,0,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-164.35,0,0,0,0,0,0,0,3589.44,0,0,0,0,0,4244.27,0,0,769.97,0,0,561.51,0,0,1358.9,0,7000,615.54,423.83,53.45,0,191.47,0,0,458.45,67.06,0,1039.57,0,0,728.52,0,74.38,0,0,0,0,0,0,475.31,0,0,137.06,60,0,7291.66,13713.33,2388.07,0,6338.76,0,0,0,0,73.55,0,17.95,0,0,0,48.94,2225.41,0,437.11,1611.62,199.5,0,0,141.55,0,0,0,18,252.51,0,0,0,0,0,0,0,0,424.11,359.06,38.96,928.8,0,0,0,0,0,0,0,0,0,0,0,4196.21,0,10954.34,0,0,0,0,288.37,0,0,0,0,0,655,107,43,58,8,181.34,152.48,108021,118780,0.771421788
10/31/2023,2410,0,127339.73,5586.45,0,23202.39,13504.1,36.29,4497.57,9516.6,372.51,0,886.66,0,2557.02,0,0,0,32618.85,20773.22,2406.45,-219.88,750.65,207.16,0,0,421.92,507.42,0,3131.2,0,0,0,0,5739.5,335,0,302.72,0,0,0,0,0,0,0,0,0,0,2971.96,0,0,0,-80.38,0,0,0,0,0,0,0,4080.07,15,0,0,0,0,5624.98,0,0,959.58,0,0,0,0,0,3231.17,0,7000,1714.45,712.95,52.72,0,0,0,0,0,63.96,0,911.85,0,10,739.18,0,74.38,0,0,0,0,0,0,475.31,0,0,525.11,0,0,7770,13748.3,921.47,0,8422.81,0,0,0,75,15.11,0,0,0,0,0,91.76,2318.99,0,563.04,1993.53,207.09,0,0,83.05,0,0,0,18,-6.31,0,0,0,0,0,0,0,0,30.67,837.03,0,161.5,0,0,0,0,0,0,0,0,0,0,0,5598.38,0,10954.34,0,0,0,0,325.49,0,0,0,0,0,760,104,42,73,19,182.84,146.58,138764,138959,0.916383466
